Fiscal Year,Mariner 3 & 4,Mariner 6 & 7,Early Mariner LVs,Mariner 8 & 9,Viking,Mars Data Analysis,Mars Observer,Mars '94 NASA Cont.,Mars Pathfinder,Mars Exploration Program,InSight,Mars (nominal $),Mars,Mariner 1 & 2,Mariver 1 & 2 LV,Mariner 5,Mariner 5 LV,Pioneer Venus,Magellan,Venus,Mariner 10,MESSENGER,Mercury,Pioneer 10 & 11,Voyager,Galileo,Cassini,Juno,Outer Planets Program,Europa Clipper,Outer Planets,Lunar Ranger,Lunar Orbiter,Lunar Surveyor,Lunar Prospector,GRAIL,Lunar Exploration Program,The Moon,NEAR,Stardust,DS1,CONTOUR,Deep Impact,Dawn,New Horizons,OSIRIS-REx,Lucy,Psyche,Small Bodies
1960,,,,,,,,,,,,$0.0,$0.0,,,,,,,$0.0,,$0.0,$0.0,,,,,,,,$0.0,$19.5,,0,,0,,$257.0,0,,,0,0,,0,0,0,0,$0.0
1961,,,,,,,,,,,,$0.0,$0.0,,,,,,,$0.0,,$0.0,$0.0,,,,,,,,$0.0,$45.1,,$7.1,,0,,$664.1,0,,,0,0,,0,0,0,0,$0.0
1962,0,0,,0,0,,0,,0,,0,$0.0,$0.0,$13.2,$17.0,0,,0,0,$370.3,0,$0.0,$0.0,0,0,0,0,0,,0,$0.0,$63.4,0,$36.8,,0,,"$1,228.3",0,,,0,0,,0,0,0,0,$0.0
1963,$31.8,0,$4.8,0,0,,0,,0,,0,$36.6,$433.4,$7.7,,0,,0,0,$91.2,0,$0.0,$0.0,0,0,0,0,0,,0,$0.0,$71.3,$4.0,$66.4,,0,,"$1,676.8",0,,,0,0,,0,0,0,0,$0.0
1964,$28.4,0,$10.6,0,0,,0,,0,,0,$38.9,$440.8,,,0,,0,0,$0.0,0,$0.0,$0.0,0,0,0,0,0,,0,$0.0,$30.3,$20.0,$102.7,,0,,"$1,733.3",0,,,0,0,,0,0,0,0,$0.0
1965,$16.2,0,,0,0,,0,,0,,0,$16.2,$177.5,,,0,,0,0,$0.0,0,$0.0,$0.0,0,0,0,0,0,,0,$0.0,$11.0,$58.6,$121.9,,0,,"$2,098.1",0,,,0,0,,0,0,0,0,$0.0
1966,$2.3,$0.0,,0,0,,0,,0,,0,$2.3,$24.1,,,$10.9,$14.5,0,0,$262.5,0,$0.0,$0.0,0,0,0,0,0,,0,$0.0,$1.0,$72.6,$119.6,,0,,"$1,996.9",0,,,0,0,,0,0,0,0,$0.0
1967,$1.0,$30.1,,0,0,,0,,0,,0,$31.1,$306.7,,,$12.1,$9.0,0,0,$207.5,0,$0.0,$0.0,0,0,0,0,0,,0,$0.0,0,$35.3,$87.5,,0,,"$1,210.4",0,,,0,0,,0,0,0,0,$0.0
1968,0,$62.9,$6.9,,0,,0,,0,,0,$69.7,$651.8,,,$3.4,,0,0,$31.8,0,$0.0,$0.0,0,0,0,0,0,,0,$0.0,,$10.0,$33.0,,0,,$402.0,0,,,0,0,,0,0,0,0,$0.0
1969,,$26.1,$11.0,$31.6,$12.4,,0,,0,,0,$81.2,$718.3,,,0,,0,0,$0.0,0,$0.0,$0.0,$6.0,0,0,0,0,,0,$52.8,,0,0,,0,,$0.0,0,,,0,0,,0,0,0,0,$0.0
1970,,$3.7,$2.1,$68.5,$40.2,,0,,0,,0,$114.5,$946.9,,,,,0,0,$0.0,$0.9,$0.0,$7.4,$22.6,0,0,0,0,,0,$187.0,,0,0,,0,,$0.0,0,,,0,0,,0,0,0,0,$0.0
1971,,$0.2,,$31.3,$41.1,,0,,0,,0,$72.6,$564.9,,,,,0,0,$0.0,$13.4,$0.0,$104.3,$56.5,0,0,0,0,,0,$439.7,,0,0,,0,,$0.0,0,,,0,0,,0,0,0,0,$0.0
1972,,$0.0,,$17.0,$186.3,,0,,0,,0,$203.3,"$1,496.9",,,,,0,0,$0.0,$52.4,$0.0,$385.8,$19.0,$9.2,0,0,0,,0,$207.1,,,0,,0,,$0.0,0,,,0,0,,0,0,0,0,$0.0
1973,,,,$7.2,$265.2,,0,,0,,0,$272.4,"$1,897.7",,,,,0,0,$0.0,$37.3,$0.0,$259.9,$2.7,$6.1,0,0,0,,0,$60.7,,,0,,0,,$0.0,0,,,0,0,,0,0,0,0,$0.0
1974,,,$0.0,,$313.4,,0,,0,,0,$313.4,"$2,036.7",,,,,0,0,$0.0,$11.2,$0.0,$72.6,$5.3,$46.6,0,0,0,,0,$337.1,,,0,,0,,$0.0,0,,,0,0,,0,0,0,0,$0.0
1975,,,,0,$95.2,,0,,0,,0,$95.2,$558.4,,,,,$27.3,0,$160.2,$5.3,$0.0,$31.2,$4.9,$77.0,0,0,0,,0,$480.3,,,0,,0,,$0.0,0,,,0,0,,0,0,0,0,$0.0
1976,,,,0,$39.5,,0,,0,,0,$39.5,$212.5,,,,,$63.0,0,$338.9,0,$0.0,$0.0,$3.6,$112.6,0,0,0,,0,$625.2,,,0,,0,,$0.0,0,,,0,0,,0,0,0,0,$0.0
1977,,,,,$25.4,,0,,0,,0,$25.4,$123.4,,,,,$65.4,0,$317.4,,$0.0,$0.0,$2.3,$59.8,0,0,0,,0,$301.5,,,0,,0,,$0.0,0,,,0,0,,0,0,0,0,$0.0
1978,,,,,$20.0,,0,,0,,0,$20.0,$90.1,,,,,$23.2,0,$104.5,,$0.0,$0.0,$1.8,$16.0,$21.0,0,0,,0,$174.7,,,0,,0,,$0.0,0,,,0,0,,0,0,0,0,$0.0
1979,,,,,$5.0,,0,,0,,0,$5.0,$20.6,,,,,$9.0,0,$37.0,,$0.0,$0.0,$2.8,$16.7,$78.7,0,0,,0,$404.4,,,0,,0,,$0.0,0,,,0,0,,0,0,0,0,$0.0
1980,,,,,$2.5,$6.0,0,,0,,0,$8.5,$31.4,,,,,$8.3,0,$30.7,,$0.0,$0.0,$2.8,$19.0,$116.1,0,0,,0,$512.6,,,0,,0,,$0.0,0,,,0,0,,0,0,0,0,$0.0
1981,,,,,0,$4.4,0,,0,,0,$4.4,$14.9,,,,,$4.7,0,$15.9,,$0.0,$0.0,$2.0,$29.0,$63.1,0,0,,0,$317.6,,,0,,0,,$0.0,0,,,0,0,,0,0,0,0,$0.0
1982,,,,,0,$2.9,0,,0,,0,$2.9,$9.1,,,,,$5.1,0,$15.9,,$0.0,$0.0,$1.9,$17.2,$115.7,0,0,,0,$422.2,,,0,,0,,$0.0,0,,,0,0,,0,0,0,0,$0.0
