year,destination,funding,missions,cumFunding,cumMissions,,destination,funding,missions,cumFunding,cumMissions,,destination,funding,missions,cumFunding,cumMissions,,destination,funding,missions,cumFunding,cumMissions,,destination,funding,missions,cumFunding,cumMissions,,destination,funding,missions,cumFunding,cumMissions
1960,Moon,256.9773,0,256.9773,0,,Mars,0,0,0,0,,Mercury,0,0,0,0,,Venus,0,0,0,0,,Outer Planets,0,0,0,0,,Small Bodies,0,0,0,0
1961,Moon,664.11304,2,921.09034,2,,Mars,0,0,0,0,,Mercury,0,0,0,0,,Venus,0,0,0,0,,Outer Planets,0,0,0,0,,Small Bodies,0,0,0,0
1962,Moon,1228.32426,3,2149.4146,5,,Mars,0,0,0,0,,Mercury,0,0,0,0,,Venus,370.328952,2,370.328952,2,,Outer Planets,0,0,0,0,,Small Bodies,0,0,0,0
1963,Moon,1676.840862,0,3826.255462,5,,Mars,433.412856,0,433.412856,0,,Mercury,0,0,0,0,,Venus,91.1526,0,461.481552,2,,Outer Planets,0,0,0,0,,Small Bodies,0,0,0,0
1964,Moon,1733.29728,2,5559.552742,7,,Mars,440.77248,2,874.185336,2,,Mercury,0,0,0,0,,Venus,0,0,461.481552,2,,Outer Planets,0,0,0,0,,Small Bodies,0,0,0,0
1965,Moon,2098.090645,2,7657.643387,9,,Mars,177.471,0,1051.656336,2,,Mercury,0,0,0,0,,Venus,0,0,461.481552,2,,Outer Planets,0,0,0,0,,Small Bodies,0,0,0,0
1966,Moon,1996.877025,4,9654.520412,13,,Mars,24.132225,0,1075.788561,2,,Mercury,0,0,0,0,,Venus,262.509,0,723.990552,2,,Outer Planets,0,0,0,0,,Small Bodies,0,0,0,0
1967,Moon,1210.362226,7,10864.88264,20,,Mars,306.72389,0,1382.512451,2,,Mercury,0,0,0,0,,Venus,207.484474,1,931.475026,3,,Outer Planets,0,0,0,0,,Small Bodies,0,0,0,0
1968,Moon,401.964,2,11266.84664,22,,Mars,651.779952,0,2034.292403,2,,Mercury,0,0,0,0,,Venus,31.7832,0,963.258226,3,,Outer Planets,0,0,0,0,,Small Bodies,0,0,0,0
1969,Moon,0,0,11266.84664,22,,Mars,718.26546,2,2752.557863,4,,Mercury,0,0,0,0,,Venus,0,0,963.258226,3,,Outer Planets,52.75446,0,52.75446,0,,Small Bodies,0,0,0,0
1970,Moon,0,0,11266.84664,22,,Mars,946.911034,0,3699.468897,4,,Mercury,7.4457,0,7.4457,0,,Venus,0,0,963.258226,3,,Outer Planets,187.044257,0,239.798717,0,,Small Bodies,0,0,0,0
1971,Moon,0,0,11266.84664,22,,Mars,564.882357,2,4264.351254,6,,Mercury,104.338898,0,111.784598,0,,Venus,0,0,963.258226,3,,Outer Planets,439.708368,2,679.507085,2,,Small Bodies,0,0,0,0
1972,Moon,0,0,11266.84664,22,,Mars,1496.8979,0,5761.249154,6,,Mercury,385.8212,0,497.605798,0,,Venus,0,0,963.258226,3,,Outer Planets,207.113827,0,886.620912,2,,Small Bodies,0,0,0,0
1973,Moon,0,0,11266.84664,22,,Mars,1897.71255,0,7658.961704,6,,Mercury,259.880562,1,757.48636,1,,Venus,0,1,963.258226,4,,Outer Planets,60.722622,0,947.343534,2,,Small Bodies,0,0,0,0
1974,Moon,0,0,11266.84664,22,,Mars,2036.713626,0,9695.67533,6,,Mercury,72.58266,0,830.06902,1,,Venus,0,0,963.258226,4,,Outer Planets,337.05126,0,1284.394794,2,,Small Bodies,0,0,0,0
